dataset,variant,image_id,runtime_s
BSDS500_val,G_fmin003_ks25,43074,0.682338
BSDS500_val,G_fmin003_ks25,45096,0.677737
BSDS500_val,G_fmin003_ks25,54082,0.764895
BSDS500_val,G_fmin003_ks25,55073,0.697224
BSDS500_val,G_fmin003_ks25,58060,0.703370
BSDS500_val,G_fmin003_ks25,62096,0.674161
BSDS500_val,G_fmin003_ks25,65033,0.693848
BSDS500_val,G_fmin003_ks25,66053,0.671149
BSDS500_val,G_fmin003_ks25,69015,0.683644
BSDS500_val,G_fmin003_ks25,69020,0.683253
BSDS500_val,G_fmin003_ks25,69040,0.709225
BSDS500_val,G_fmin003_ks25,76053,0.683845
BSDS500_val,G_fmin003_ks25,78004,0.699927
BSDS500_val,G_fmin003_ks25,8023,0.674140
BSDS500_val,G_fmin003_ks25,85048,0.677735
BSDS500_val,G_fmin003_ks25,86000,0.673161
BSDS500_val,G_fmin003_ks25,86016,0.706372
BSDS500_val,G_fmin003_ks25,86068,0.694010
BSDS500_val,G_fmin003_ks25,87046,0.678028
BSDS500_val,G_fmin003_ks25,89072,0.696455
BSDS500_val,G_fmin003_ks25,97033,0.715577
BSDS500_val,G_fmin005_ks5,101085,0.899603
BSDS500_val,G_fmin005_ks5,101087,0.853670
BSDS500_val,G_fmin005_ks5,102061,0.837443
BSDS500_val,G_fmin005_ks5,103070,0.856798
BSDS500_val,G_fmin005_ks5,105025,0.904162
BSDS500_val,G_fmin005_ks5,106024,0.850923
BSDS500_val,G_fmin005_ks5,108005,0.879105
BSDS500_val,G_fmin005_ks5,108070,0.866418
BSDS500_val,G_fmin005_ks5,108082,0.873974
BSDS500_val,G_fmin005_ks5,109053,0.843418
BSDS500_val,G_fmin005_ks5,119082,0.840908
BSDS500_val,G_fmin005_ks5,12084,0.869277
BSDS500_val,G_fmin005_ks5,123074,0.871504
BSDS500_val,G_fmin005_ks5,126007,0.880396
BSDS500_val,G_fmin005_ks5,130026,0.873821
BSDS500_val,G_fmin005_ks5,134035,0.861433
BSDS500_val,G_fmin005_ks5,14037,0.829438
BSDS500_val,G_fmin005_ks5,143090,0.822573
BSDS500_val,G_fmin005_ks5,145086,0.849962
BSDS500_val,G_fmin005_ks5,147091,0.843117
BSDS500_val,G_fmin005_ks5,148026,0.889575
BSDS500_val,G_fmin005_ks5,148089,0.843487
BSDS500_val,G_fmin005_ks5,156065,0.844468
BSDS500_val,G_fmin005_ks5,157055,0.838087
BSDS500_val,G_fmin005_ks5,159008,0.879773
BSDS500_val,G_fmin005_ks5,160068,0.836580
BSDS500_val,G_fmin005_ks5,16077,0.893271
BSDS500_val,G_fmin005_ks5,163085,0.868624
BSDS500_val,G_fmin005_ks5,167062,0.859353
BSDS500_val,G_fmin005_ks5,167083,0.874712
BSDS500_val,G_fmin005_ks5,170057,0.846818
BSDS500_val,G_fmin005_ks5,175032,0.880924
BSDS500_val,G_fmin005_ks5,175043,0.873514
BSDS500_val,G_fmin005_ks5,182053,0.864625
BSDS500_val,G_fmin005_ks5,189080,0.899050
BSDS500_val,G_fmin005_ks5,19021,0.902502
BSDS500_val,G_fmin005_ks5,196073,0.874672
BSDS500_val,G_fmin005_ks5,197017,1.633600
BSDS500_val,G_fmin005_ks5,208001,0.886244
BSDS500_val,G_fmin005_ks5,210088,0.860466
BSDS500_val,G_fmin005_ks5,21077,0.874118
BSDS500_val,G_fmin005_ks5,216081,0.862651
BSDS500_val,G_fmin005_ks5,219090,0.884577
BSDS500_val,G_fmin005_ks5,220075,0.882891
BSDS500_val,G_fmin005_ks5,223061,0.927292
BSDS500_val,G_fmin005_ks5,227092,0.851699
BSDS500_val,G_fmin005_ks5,229036,0.871636
BSDS500_val,G_fmin005_ks5,236037,0.896125
BSDS500_val,G_fmin005_ks5,24077,0.862079
BSDS500_val,G_fmin005_ks5,241004,0.845387
BSDS500_val,G_fmin005_ks5,241048,0.997028
BSDS500_val,G_fmin005_ks5,253027,2.114210
BSDS500_val,G_fmin005_ks5,253055,2.061589
BSDS500_val,G_fmin005_ks5,260058,2.057639
BSDS500_val,G_fmin005_ks5,271035,1.943651
BSDS500_val,G_fmin005_ks5,285079,2.067282
BSDS500_val,G_fmin005_ks5,291000,2.038826
BSDS500_val,G_fmin005_ks5,295087,2.063418
BSDS500_val,G_fmin005_ks5,296007,2.008551
BSDS500_val,G_fmin005_ks5,296059,1.989727
BSDS500_val,G_fmin005_ks5,299086,2.083508
BSDS500_val,G_fmin005_ks5,300091,1.980386
BSDS500_val,G_fmin005_ks5,302008,1.975612
BSDS500_val,G_fmin005_ks5,304034,2.165993
BSDS500_val,G_fmin005_ks5,304074,2.036454
BSDS500_val,G_fmin005_ks5,306005,2.095194
BSDS500_val,G_fmin005_ks5,3096,1.945108
BSDS500_val,G_fmin005_ks5,33039,2.050553
BSDS500_val,G_fmin005_ks5,351093,2.112732
BSDS500_val,G_fmin005_ks5,361010,1.899833
BSDS500_val,G_fmin005_ks5,37073,2.013730
BSDS500_val,G_fmin005_ks5,376043,2.131565
BSDS500_val,G_fmin005_ks5,38082,2.163672
BSDS500_val,G_fmin005_ks5,38092,1.999775
BSDS500_val,G_fmin005_ks5,385039,2.136610
BSDS500_val,G_fmin005_ks5,41033,1.005109
BSDS500_val,G_fmin005_ks5,41069,0.845499
BSDS500_val,G_fmin005_ks5,42012,0.848987
BSDS500_val,G_fmin005_ks5,42049,0.827828
BSDS500_val,G_fmin005_ks5,43074,0.837540
BSDS500_val,G_fmin005_ks5,45096,0.832436
BSDS500_val,G_fmin005_ks5,54082,0.861183
BSDS500_val,G_fmin005_ks5,55073,0.859924
BSDS500_val,G_fmin005_ks5,58060,0.852440
BSDS500_val,G_fmin005_ks5,62096,0.841336
BSDS500_val,G_fmin005_ks5,65033,0.852095
BSDS500_val,G_fmin005_ks5,66053,0.844505
BSDS500_val,G_fmin005_ks5,69015,0.841489
BSDS500_val,G_fmin005_ks5,69020,0.855013
BSDS500_val,G_fmin005_ks5,69040,0.868350
BSDS500_val,G_fmin005_ks5,76053,0.844394
BSDS500_val,G_fmin005_ks5,78004,0.832495
BSDS500_val,G_fmin005_ks5,8023,0.842680
BSDS500_val,G_fmin005_ks5,85048,0.843306
BSDS500_val,G_fmin005_ks5,86000,0.840045
BSDS500_val,G_fmin005_ks5,86016,0.848346
BSDS500_val,G_fmin005_ks5,86068,0.843891
BSDS500_val,G_fmin005_ks5,87046,0.843429
BSDS500_val,G_fmin005_ks5,89072,0.842113
BSDS500_val,G_fmin005_ks5,97033,0.839806
BSDS500_val,G_fmin005_ks25,101085,0.733939
BSDS500_val,G_fmin005_ks25,101087,0.745103
BSDS500_val,G_fmin005_ks25,102061,0.726015
BSDS500_val,G_fmin005_ks25,103070,0.731199
BSDS500_val,G_fmin005_ks25,105025,0.743713
BSDS500_val,G_fmin005_ks25,106024,0.726503
BSDS500_val,G_fmin005_ks25,108005,0.748890
BSDS500_val,G_fmin005_ks25,108070,0.754550
BSDS500_val,G_fmin005_ks25,108082,0.753643
BSDS500_val,G_fmin005_ks25,109053,0.739317
BSDS500_val,G_fmin005_ks25,119082,0.742884
BSDS500_val,G_fmin005_ks25,12084,1.981758
BSDS500_val,G_fmin005_ks25,123074,1.800124
BSDS500_val,G_fmin005_ks25,126007,1.792485
BSDS500_val,G_fmin005_ks25,130026,1.796498
BSDS500_val,G_fmin005_ks25,134035,1.802510
BSDS500_val,G_fmin005_ks25,14037,1.784535
BSDS500_val,G_fmin005_ks25,143090,1.796528
BSDS500_val,G_fmin005_ks25,145086,1.816542
BSDS500_val,G_fmin005_ks25,147091,1.716588
BSDS500_val,G_fmin005_ks25,148026,1.839177
BSDS500_val,G_fmin005_ks25,148089,1.869946
BSDS500_val,G_fmin005_ks25,156065,1.848480
BSDS500_val,G_fmin005_ks25,157055,1.913837
BSDS500_val,G_fmin005_ks25,159008,1.821908
BSDS500_val,G_fmin005_ks25,160068,1.834897
BSDS500_val,G_fmin005_ks25,16077,1.686461
BSDS500_val,G_fmin005_ks25,163085,1.822697
BSDS500_val,G_fmin005_ks25,167062,1.879098
BSDS500_val,G_fmin005_ks25,167083,1.812341
BSDS500_val,G_fmin005_ks25,170057,1.796768
BSDS500_val,G_fmin005_ks25,175032,1.788903
BSDS500_val,G_fmin005_ks25,175043,1.784497
BSDS500_val,G_fmin005_ks25,182053,1.932746
BSDS500_val,G_fmin005_ks25,189080,1.739538
BSDS500_val,G_fmin005_ks25,19021,1.742906
BSDS500_val,G_fmin005_ks25,196073,1.732284
BSDS500_val,G_fmin005_ks25,197017,1.733686
BSDS500_val,G_fmin005_ks25,208001,1.814484
BSDS500_val,G_fmin005_ks25,210088,1.806564
BSDS500_val,G_fmin005_ks25,21077,1.897440
BSDS500_val,G_fmin005_ks25,216081,1.834001
BSDS500_val,G_fmin005_ks25,219090,1.763789
BSDS500_val,G_fmin005_ks25,220075,1.805357
BSDS500_val,G_fmin005_ks25,223061,1.792348
BSDS500_val,G_fmin005_ks25,227092,1.885528
BSDS500_val,G_fmin005_ks25,229036,1.756538
BSDS500_val,G_fmin005_ks25,236037,1.760105
BSDS500_val,G_fmin005_ks25,24077,1.900185
BSDS500_val,G_fmin005_ks25,241004,1.833072
BSDS500_val,G_fmin005_ks25,241048,1.767400
BSDS500_val,G_fmin005_ks25,253027,1.917811
BSDS500_val,G_fmin005_ks25,253055,1.818931
BSDS500_val,G_fmin005_ks25,260058,1.886791
BSDS500_val,G_fmin005_ks25,271035,1.801584
BSDS500_val,G_fmin005_ks25,285079,1.781135
BSDS500_val,G_fmin005_ks25,291000,1.791906
BSDS500_val,G_fmin005_ks25,295087,1.818565
BSDS500_val,G_fmin005_ks25,296007,1.840753
BSDS500_val,G_fmin005_ks25,296059,1.875181
BSDS500_val,G_fmin005_ks25,299086,1.740612
BSDS500_val,G_fmin005_ks25,300091,1.869348
BSDS500_val,G_fmin005_ks25,302008,1.837850
BSDS500_val,G_fmin005_ks25,304034,1.832570
BSDS500_val,G_fmin005_ks25,304074,1.828008
BSDS500_val,G_fmin005_ks25,306005,1.831604
BSDS500_val,G_fmin005_ks25,3096,1.819049
BSDS500_val,G_fmin005_ks25,33039,1.859688
BSDS500_val,G_fmin005_ks25,351093,1.846854
BSDS500_val,G_fmin005_ks25,361010,1.857874
BSDS500_val,G_fmin005_ks25,37073,1.877817
BSDS500_val,G_fmin005_ks25,376043,1.675037
BSDS500_val,G_fmin005_ks25,38082,0.783349
BSDS500_val,G_fmin005_ks25,38092,0.736085
BSDS500_val,G_fmin005_ks25,385039,0.740258
BSDS500_val,G_fmin005_ks25,41033,0.735076
BSDS500_val,G_fmin005_ks25,41069,0.732587
BSDS500_val,G_fmin005_ks25,42012,0.735340
BSDS500_val,G_fmin005_ks25,42049,0.747279
BSDS500_val,G_fmin005_ks25,43074,0.763267
BSDS500_val,G_fmin005_ks25,45096,0.724776
BSDS500_val,G_fmin005_ks25,54082,0.725844
BSDS500_val,G_fmin005_ks25,55073,0.735575
BSDS500_val,G_fmin005_ks25,58060,0.731310
BSDS500_val,G_fmin005_ks25,62096,0.724614
BSDS500_val,G_fmin005_ks25,65033,0.740152
BSDS500_val,G_fmin005_ks25,66053,0.755356
BSDS500_val,G_fmin005_ks25,69015,0.735106
BSDS500_val,G_fmin005_ks25,69020,0.730306
BSDS500_val,G_fmin005_ks25,69040,0.754202
BSDS500_val,G_fmin005_ks25,76053,0.727975
BSDS500_val,G_fmin005_ks25,78004,0.735843
BSDS500_val,G_fmin005_ks25,8023,0.740655
BSDS500_val,G_fmin005_ks25,85048,0.754012
BSDS500_val,G_fmin005_ks25,86000,0.741780
BSDS500_val,G_fmin005_ks25,86016,0.731598
BSDS500_val,G_fmin005_ks25,86068,0.732857
BSDS500_val,G_fmin005_ks25,87046,0.730599
BSDS500_val,G_fmin005_ks25,89072,0.734787
BSDS500_val,G_fmin005_ks25,97033,0.732464
BSDS500_val,G_fmin008_ks5,101085,0.880820
BSDS500_val,G_fmin008_ks5,101087,0.848465
